ID,Published,ChannelID,ChannelName,CategoryID,DefaultAudioLang,DefaultLang,Views,Comments,Likes,Dislikes,SearchIndex,URL,Title,Length,Length (min),PublishedAgo
iNX0cRrYj6U,2020-03-24T19:10:01.000Z,UCkng_xb4HFUs4W4mZnuuqEg,Leah Day,26,en,,3562103,1346,24880,1447,21,https://youtube.com/watch?v=iNX0cRrYj6U,How to Sew a Face Mask with Filter Pocket - Fast and Easy DIY Flu Mask,19:07,19.11666667,1 month ago
XjWOv-6WCXA,2020-04-12T11:02:07.000Z,UCexNn7c7IhTrXd943DK3N0g,Crafty Daily,26,en,,3520590,469,34277,1859,26,https://youtube.com/watch?v=XjWOv-6WCXA,Face Mask Sewing Tutorial | How to sew a Face Mask | Cloth Face Mask No Sewing Machine,4:23,4.383333333,2 weeks ago
fAKl4vVxTv0,2020-03-21T07:36:45.000Z,UCvoNWXdItPb_xzX2_BGOkEw,Juhi Parmar,26,hi,,3513203,3937,129362,3503,22,https://youtube.com/watch?v=fAKl4vVxTv0,Making Your Own Mask At Home l DIY Economical Face Mask At Home During Covid-19,5:22,5.366666667,1 month ago
eS71USSMEB0,2020-03-23T11:11:13.000Z,UC3IGIgnbV6vd6RJegHurSRw,IDEA CREATIVE,22,ru,ru,3494599,491,44820,2654,23,https://youtube.com/watch?v=eS71USSMEB0,HANDMADE FACE MASK IDEAS | МАСКА МЕДИЦИНСКАЯ СВОИМИ РУКАМИ,4:04,4.066666667,1 month ago
ZnVk12sFRkY,2020-03-22T22:30:54.000Z,UCVuIIm6TH5CWw7KOyAmo9FA,UnityPoint Health - Cedar Rapids,27,en,,3462121,3194,28847,1577,24,https://youtube.com/watch?v=ZnVk12sFRkY,Instructional video for sewing the Olson mask (COVID-19),18:21,18.35,1 month ago
VUasSmReIVo,2020-03-28T13:00:24.000Z,UCgm0srXpyOkSYzBudnbO52g,Jess Dang,26,en-US,,3382106,5222,113997,2665,25,https://youtube.com/watch?v=VUasSmReIVo,DIY FACE MASK from old clothes in 2 ways - Washable & Reusable face mask - No sewing machine,9:03,9.05,4 weeks ago
o8OyV15ua24,2020-04-01T19:30:02.000Z,UCdtd0HcgVPoCUUdxjrx8IpQ,Hobby Lobby,26,en,en,2989963,NaN,18589,3183,27,https://youtube.com/watch?v=o8OyV15ua24,DIY Fabric Face Mask | Hobby Lobby®,2:20,2.333333333,3 weeks ago
RjIzW8uaxYs,2020-04-09T08:13:02.000Z,UCexNn7c7IhTrXd943DK3N0g,Crafty Daily,26,en,,2866655,406,24883,1828,28,https://youtube.com/watch?v=RjIzW8uaxYs,Face Mask Sewing Tutorial | How to make Cloth Face Mask | Simple 3D Face Mask,5:32,5.533333333,2 weeks ago
zz0YpY6VqVU,2020-03-23T01:24:26.000Z,UCLl8BQ0U0i9ZGD1CpWFV8lQ,Ready Set Sew,27,en-US,,2784675,1687,NaN,NaN,29,https://youtube.com/watch?v=zz0YpY6VqVU,The 15 Minute Mask,21:46,21.76666667,1 month ago
OPZSRwXnaqE,2020-03-24T14:59:48.000Z,UCRfYoMMJnEKmUAsVLEuFodw,Primas Bakery And Boutique,22,,,2732608,440,15312,1089,30,https://youtube.com/watch?v=OPZSRwXnaqE,Quick & Easy Bandana Face Mask Tutorial,2:27,2.45,1 month ago
ySJLeQYp4UM,2020-03-28T09:49:42.000Z,UCexNn7c7IhTrXd943DK3N0g,Crafty Daily,26,en,,2732090,NaN,12659,1421,33,https://youtube.com/watch?v=ySJLeQYp4UM,DIY Face Mask | How to make a Face Mask DIY Tutorial | Face Mask by Paper Towels,7:07,7.116666667,4 weeks ago
DJZeT4GCD7U,2020-04-22T15:19:10.000Z,UCLVZupeY_rSOJW5NXlaDrgQ,Yo Menita,24,,,2726826,679,32061,1152,38,https://youtube.com/watch?v=DJZeT4GCD7U,TAPABOCAS SIN MÁQUINA - MAKE FABRIC FACE MASK AT HOME - DIY FACE MASK NO SEWING MACHINE,2:20,2.333333333,4 days ago
tPx1yqvJgf4,2020-04-04T01:12:13.000Z,UCiMg06DjcUk5FRiM3g5sqoQ,Centers for Disease Control and Prevention (CDC),25,en-US,,2703260,1835,23184,1079,32,https://youtube.com/watch?v=tPx1yqvJgf4,How to Make Your own Face Covering,0:46,0.766666667,3 weeks ago
D-S4STsImwo,2020-03-18T11:32:00.000Z,UC9_IVRY9Rg29nVWNJ5pPpxQ,Rin DIY,22,,,2683198,761,35731,2213,31,https://youtube.com/watch?v=D-S4STsImwo,หน้ากากอนามัยทำเอง แบบที่ 9 | How to make face mask,17:35,17.58333333,1 month ago
FW1TCQDN4do,2020-03-28T15:03:47.000Z,UCAZLjiEbsPpUBu_IDvztMsA,"Thoughtful Creativity - CRAFT, SEW, DIY",24,en,,2415512,1618,32507,1797,34,https://youtube.com/watch?v=FW1TCQDN4do,Tutorial on How to BATCH sew masks for hospitals!,4:01,4.016666667,4 weeks ago
9tBg0Os5FWQ,2020-03-20T15:54:27.000Z,UCJmEkeFVWQ_2vtHNonYzVxA,Deaconess Health,22,en-US,,2378111,0,10135,582,35,https://youtube.com/watch?v=9tBg0Os5FWQ,"How to make a face mask for doctors, nurses and health care workers - COVID-19 - Deaconess Hospital",7:48,7.8,1 month ago
#NAME?,2020-04-07T03:49:23.000Z,UCZn5C_sjPp9Dn4heTiN1xeA,Brittany Bailey,26,en-US,,2367266,1878,77387,1456,39,https://youtube.com/watch?v=-t_Gz3lGwF8,Best Fit Face Mask Tutorial Video,6:58,6.966666667,2 weeks ago
Dy59oQArwXI,2020-03-10T01:27:56.000Z,UCcw6sOZLSgXCJO16d5CANFg,Rebecca Brand,26,en,,2352173,4826,31679,4694,36,https://youtube.com/watch?v=Dy59oQArwXI,How to Make an N95 Mask out of a BRA DIY Do it Yourself Respirator Mask In My Opinion,19:39,19.65,1 month ago
AhGUBjK10DI,2020-04-02T23:18:24.000Z,UCXrEE1TyCslZgsH1Pql51-Q,Melanie Ham,26,en-US,en,2270032,1793,26246,1589,37,https://youtube.com/watch?v=AhGUBjK10DI,DIY Face Mask with Elastic in 10 minutes - Sewing Tutorial,6:59,6.983333333,3 weeks ago
X8PwwqAzD3I,2020-03-06T17:23:01.000Z,UCelxoc1vYhrNgODd-LZpDtA,Mana creative corner,26,,,2168416,412,13901,1476,40,https://youtube.com/watch?v=X8PwwqAzD3I,3 Easy Face Masks From Cloth Bag/ How to make disposable Face mask easily at home/ Easy,9:00,9,1 month ago
31CBnLw6wDU,2020-04-13T12:31:56.000Z,UCexNn7c7IhTrXd943DK3N0g,Crafty Daily,26,en,,2046220,296,20650,1354,42,https://youtube.com/watch?v=31CBnLw6wDU,Face Mask Sewing Tutorial | How to make Fabric Face Mask | Cloth Face Mask No Sewing Machine,6:01,6.016666667,1 week ago
v8HNYKvlaN8,2020-03-23T18:32:39.000Z,UCXchirenk1vN2hI1187MIrQ,The Fabric Patch,26,en-US,,2034337,2777,20983,1316,41,https://youtube.com/watch?v=v8HNYKvlaN8,"To make the BEST DIY face mask, and what to use if you can’t find supplies.",18:10,18.16666667,1 month ago
EAj12GKuAEk,2020-03-23T20:34:36.000Z,UCyxl_I7lKw-bjUz3ECa_jwg,Japanese Creations,26,en,,1855159,243,6895,306,43,https://youtube.com/watch?v=EAj12GKuAEk,"How To Make a Pleated Face Mask // Washable, Reusable, No-Sewing Required",1:43,1.716666667,1 month ago
e5btJ0_KTU8,2020-04-08T16:08:27.000Z,UCap97Ue8K_BpKlrvQRYd6JA,LaurDIY,26,en,,1743444,1902,56040,1285,45,https://youtube.com/watch?v=e5btJ0_KTU8,How To Make a Mask At Home: 3 Easy DIY Masks,9:32,9.533333333,2 weeks ago
ha6xEjnXO34,2020-03-25T16:54:34.000Z,UC8sZfWRNyRTbCvjpb83QKWg,Belinda's DIY's,26,,,1731299,704,NaN,NaN,44,https://youtube.com/watch?v=ha6xEjnXO34,HOW TO DIY FACE MASK / NO SEW EASY TO MAKE / DOLLAR TREE DIY,7:07,7.116666667,1 month ago
lkHZO3CETsQ,2020-03-25T22:16:35.000Z,UCLBCvwA0LR-7A8E2fMvZ6Nw,Sew Much Moore In Store,26,en,en,1655293,2576,46853,1104,46,https://youtube.com/watch?v=lkHZO3CETsQ,DIY Face Mask Video Tutorial,12:58,12.96666667,1 month ago
Ol3jKp-YH8k,2020-04-09T00:04:11.000Z,UCc8cyuPi3Aqza9UK0eYl9DA,tristinstyling,26,,,1638613,2165,34697,1476,48,https://youtube.com/watch?v=Ol3jKp-YH8k,DIY NO SEW Face Mask | Just t-shirt & scissors | 2-4 mins | #Stayhome #Withme,7:40,7.666666667,2 weeks ago
3hcSCgAD8f8,2020-04-03T20:54:28.000Z,UC-wy1vF3OBbcO3i5krqykKg,Headcovers.com,26,en-US,,1633476,563,11090,741,47,https://youtube.com/watch?v=3hcSCgAD8f8,How To Turn A Bandana Into A Face Mask For Coronavirus,3:12,3.2,3 weeks ago
nauxXkljAVs,2020-03-22T17:03:48.000Z,UCrtz6CSbYmMkA_Nni9h6WzA,DIY anna / Uradi sama,26,en,en,1623924,677,NaN,NaN,49,https://youtube.com/watch?v=nauxXkljAVs,Quick way to make face mask in 1 minute,2:17,2.283333333,1 month ago
ZUvWbyj6MFQ,2020-03-15T19:20:40.000Z,UCc7HtyI23W2l5RZVJFq0lSQ,Jenny W. Chan - Origami Tree,26,en,en,1590805,1051,10691,1366,50,https://youtube.com/watch?v=ZUvWbyj6MFQ,How to make a NO SEW DIY FACE MASK - $0 Quick & Easy Tutorial,7:41,7.683333333,1 month ago
aNjpH5lBZ8w,2020-02-14T13:11:02.000Z,UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,25,en-US,,1583851,930,10604,418,52,https://youtube.com/watch?v=aNjpH5lBZ8w,Experts devise do-it-yourself face masks to help people battle coronavirus,2:02,2.033333333,2 months ago
