0,uRfhuRNua_E,https://youtube.com/watch?v=uRfhuRNua_E,Make Fabric Face Mask at home | DIY Face Mask No Sewing Machine | Easy Face Mask Pattern,4:52,4.866666666666667,20M,6 days ago
1,U1mwc295aWw,https://youtube.com/watch?v=U1mwc295aWw,☔Awesome Face Mask Ideas at Home 💙 How to Make Face Mask 🍎 Useful Face Mask Diy !,3:07,3.1166666666666667,9.4M,1 month ago
2,W6d3twpHwis,https://youtube.com/watch?v=W6d3twpHwis,A Doctor Explains How to Make the Safest Face Mask,14:56,14.933333333333334,8.8M,1 month ago
3,U4c5eo_3-y0,https://youtube.com/watch?v=U4c5eo_3-y0,DIY Face Mask Tutorial With Kay,4:24,4.4,8.5M,1 week ago
4,4FB--BOyTiU,https://youtube.com/watch?v=4FB--BOyTiU,How to SEW a Medical FACE MASK // TUTORIAL,6:20,6.333333333333333,7.4M,1 month ago
5,0Z5fs0xKVT4,https://youtube.com/watch?v=0Z5fs0xKVT4,EASY DIY Neoprene FaceMask / Cut Fabric / Mask Pattern (Adults&Kids) / Simple & Easy,3:57,3.95,7.3M,2 months ago
6,1r2C1zGUHbU,https://youtube.com/watch?v=1r2C1zGUHbU,DIY No Sew Face Mask Easy and Quick for Anyone,1:38,1.6333333333333333,6.7M,3 weeks ago
7,lOe_8z8k01U,https://youtube.com/watch?v=lOe_8z8k01U,"How to make EASY FACE MASK in 1 MINUTE - NO SEWING! WASHABLE, REUSABLE FACE MASK [XS-XXL]",6:11,6.183333333333334,6M,1 month ago
8,9K4dH3-LHLQ,https://youtube.com/watch?v=9K4dH3-LHLQ,Quick and Easy Pleated Face Mask with Nose Bridge and Filter Pocket. Details in Description,4:57,4.95,5.3M,3 weeks ago
9,9QrW4zIjMwY,https://youtube.com/watch?v=9QrW4zIjMwY,#SSOLPLEATEDMASKS How to sew a simple pleated face mask (with nose wire and filter slot),10:43,10.716666666666667,4.6M,1 month ago
10,VgHrnS6n4iA,https://youtube.com/watch?v=VgHrnS6n4iA,How to Make a Face Mask,9:39,9.65,4.5M,1 month ago
11,S9RWII2-5_4,https://youtube.com/watch?v=S9RWII2-5_4,DIY Covid-19 Fabric Mask (with Filter Pocket) Sewing Tutorial,3:20,3.3333333333333335,4.5M,1 month ago
12,CRBJ4JSVYpo,https://youtube.com/watch?v=CRBJ4JSVYpo,Face Mask Sewing Tutorial | How to make Face Mask with Filter Pocket | DIY Cloth Face Mask,6:22,6.366666666666666,4.5M,1 week ago
13,dLnjlCxk3YE,https://youtube.com/watch?v=dLnjlCxk3YE,🌹Make Awesome Face Mask at Home 🍒 Diy Face Mask 💜 How to Make Face Mask !,2:36,2.6,4.5M,3 weeks ago
14,zm_NmpdgWWA,https://youtube.com/watch?v=zm_NmpdgWWA,How to SEW a REUSABLE FACE MASK  with FILTER POCKET// DIY Fabric Face mask // BATCH sew Medical mask,11:06,11.1,4.2M,3 weeks ago
15,inJQexwK8Yg,https://youtube.com/watch?v=inJQexwK8Yg,How to sew a reusable face mask - Quick and easy tutorial with Billette's Baubles,15:13,15.216666666666667,4.1M,1 month ago
16,r51YroAFPds,https://youtube.com/watch?v=r51YroAFPds,DIY Face Mask | NO SEW | Upcycled Tshirt | 5 Minutes,8:30,8.5,4M,2 weeks ago
17,xN0HH2Zb2hY,https://youtube.com/watch?v=xN0HH2Zb2hY,DIY: How to sew Face Mask | NO Sewing Machine!,10:24,10.4,4M,2 months ago
18,_6UcIDaxfqk,https://youtube.com/watch?v=_6UcIDaxfqk,For BEGINNERS! ❤ How To Make A Fabric Face Mask At Home Easy,4:26,4.433333333333334,3.9M,3 weeks ago
19,BCJcE-r7kcg,https://youtube.com/watch?v=BCJcE-r7kcg,HOW TO MAKE FACE MASK WITH FILTER POCKET AND ADJUSTABLE WIRE/FACE MASK SEWING TUTORIAL/FACE MASK DIY,7:48,7.8,3.9M,1 month ago
20,wcMhjFNEqCo,https://youtube.com/watch?v=wcMhjFNEqCo,DIY reusable face mask tutorial step by step | homemade mask | step by step,3:57,3.95,3.6M,2 months ago
21,iNX0cRrYj6U,https://youtube.com/watch?v=iNX0cRrYj6U,How to Sew a Face Mask with Filter Pocket - Fast and Easy DIY Flu Mask,19:07,19.116666666666667,3.5M,1 month ago
